m,mbs,tp,pp,dp,dp method,overlap_comm,node placement,partition,estimated time (s/step),pipeline time,DP all-reduce time,Emb layer all-reduce time,is_oom,gpumem,train_cost,price_per_step,exp_partition,A6000,rank,real_rank
2,2,2,2,16,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",13.942827224731445,13.071692888434974,0.8274440765380859,0.04369066655635834,True,128.325927734375,12548640.552845847,1.0038912442276677,20-20,16,44,0
8,2,4,4,4,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[11, 10, 10, 11]",14.778303146362305,14.566393982252468,0.19006477296352386,0.02184533327817917,True,67.0928955078125,13300574.637814414,1.064045971025153,10-10-10-10,16,46,0
8,2,4,4,4,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[11, 10, 10, 11]",14.778303146362305,14.566393982252468,0.19006477296352386,0.02184533327817917,True,59.62266540527344,13300574.637814414,1.064045971025153,10-10-10-10,16,46,0
1,2,1,2,32,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",14.83991813659668,13.084811152289987,1.6677258014678955,0.08738133311271667,True,91.4471664428711,13356028.553484173,1.0684822842787338,20-20,16,48,0
1,2,1,2,32,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",14.83991813659668,13.084811152289987,1.6677258014678955,0.08738133311271667,True,169.8511962890625,13356028.553484173,1.0684822842787338,20-20,16,48,0
32,1,1,32,2,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[3, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",15.112713813781738,14.986416126135934,0.08260700106620789,0.04369066655635834,True,132.87574768066406,13601546.542209836,1.0881237233767869,2-1-2-1-1-1-2-1-2-1-2-1-2-1-2-1-2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1,16,50,0
32,1,1,32,2,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[3, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",15.112713813781738,14.986416126135934,0.08260700106620789,0.04369066655635834,True,137.26673889160156,13601546.542209836,1.0881237233767869,2-1-2-1-1-1-2-1-2-1-2-1-2-1-2-1-2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1,16,50,0
16,2,4,8,2,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[6, 5, 5, 5, 5, 5, 5, 6]",15.39334774017334,15.308147743416221,0.0742775946855545,0.010922666639089584,True,63.185821533203125,13854119.009218214,1.108329520737457,5-5-5-5-5-5-5-5,16,52,0
16,2,4,8,2,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[6, 5, 5, 5, 5, 5, 5, 6]",15.39334774017334,15.308147743416221,0.0742775946855545,0.010922666639089584,True,60.81886672973633,13854119.009218214,1.108329520737457,5-5-5-5-5-5-5-5,16,52,0
64,1,4,16,1,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 4]",15.549633026123047,15.544171144089042,0.0,0.005461333319544792,False,36.04094314575195,13994776.843204921,1.1195821474563936,2-3-2-3-3-3-3-3-3-2-2-2-2-2-2-3,16,54,8
64,1,4,16,1,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 4]",15.549633026123047,15.544171144089042,0.0,0.005461333319544792,False,36.04094314575195,13994776.843204921,1.1195821474563936,2-3-2-3-3-3-3-3-3-2-2-2-2-2-2-3,16,54,8
4,2,2,4,8,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[11, 10, 10, 11]",15.578657150268555,15.129710845962478,0.40525516867637634,0.04369066655635834,True,110.55108642578125,14020898.754879843,1.1216719003903874,10-10-10-10,16,56,0
4,2,2,4,8,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[11, 10, 10, 11]",15.578657150268555,15.129710845962478,0.40525516867637634,0.04369066655635834,True,92.6238021850586,14020898.754879843,1.1216719003903874,10-10-10-10,16,56,0
